shortcut	category	emojiCheatSheetFile	githubFile	unicodeChars	unicodeSampleFile	unicodeCldr	subcategory	aliasShortcuts	browserTypes
+1	github	thumbsup.png	unicode/1f44d.png?v8	U+1F44D	1f44d.png	 	custom	thumbsup	 
-1	github	thumbsdown.png	unicode/1f44e.png?v8	U+1F44E	1f44e.png	 	custom	thumbsdown	 
100	github	100.png	unicode/1f4af.png?v8	U+1F4AF	1f4af.png	 	custom	 	 
1234	github	1234.png	unicode/1f522.png?v8	U+1F522	1f522.png	 	custom	 	 
1st_place_medal	github	 	unicode/1f947.png?v8	U+1F947	1f947.png	 	custom	 	 
2nd_place_medal	github	 	unicode/1f948.png?v8	U+1F948	1f948.png	 	custom	 	 
3rd_place_medal	github	 	unicode/1f949.png?v8	U+1F949	1f949.png	 	custom	 	 
8ball	github	8ball.png	unicode/1f3b1.png?v8	U+1F3B1	1f3b1.png	 	custom	 	 
a	github	a.png	unicode/1f170.png?v8	U+1F170	1f170.png	 	custom	 	 
ab	github	ab.png	unicode/1f18e.png?v8	U+1F18E	1f18e.png	 	custom	 	 
abacus	github	 	unicode/1f9ee.png?v8	U+1F9EE	1f9ee.png	 	custom	 	 
abc	github	abc.png	unicode/1f524.png?v8	U+1F524	1f524.png	 	custom	 	 
abcd	github	abcd.png	unicode/1f521.png?v8	U+1F521	1f521.png	 	custom	 	 
accept	github	accept.png	unicode/1f251.png?v8	U+1F251	1f251.png	 	custom	 	 
accessibility	github	 	accessibility.png?v8	 	accessibility.png	 	custom	 	 
accordion	github	 	unicode/1fa97.png?v8	U+1FA97	1fa97.png	 	custom	 	 
adhesive_bandage	github	 	unicode/1fa79.png?v8	U+1FA79	1fa79.png	 	custom	 	 
adult	github	 	unicode/1f9d1.png?v8	U+1F9D1	1f9d1.png	 	custom	 	 
aerial_tramway	github	aerial_tramway.png	unicode/1f6a1.png?v8	U+1F6A1	1f6a1.png	 	custom	 	 
afghanistan	github	 	unicode/1f1e6-1f1eb.png?v8	U+1F1E6 U+1F1EB	1f1e6-1f1eb.png	 	custom	 	 
airplane	github	airplane.png	unicode/2708.png?v8	U+2708	2708.png	 	custom	 	 
aland_islands	github	 	unicode/1f1e6-1f1fd.png?v8	U+1F1E6 U+1F1FD	1f1e6-1f1fd.png	 	custom	 	 
alarm_clock	github	alarm_clock.png	unicode/23f0.png?v8	U+23F0	23f0.png	 	custom	 	 
albania	github	 	unicode/1f1e6-1f1f1.png?v8	U+1F1E6 U+1F1F1	1f1e6-1f1f1.png	 	custom	 	 
alembic	github	 	unicode/2697.png?v8	U+2697	2697.png	 	custom	 	 
algeria	github	 	unicode/1f1e9-1f1ff.png?v8	U+1F1E9 U+1F1FF	1f1e9-1f1ff.png	 	custom	 	 
alien	github	alien.png	unicode/1f47d.png?v8	U+1F47D	1f47d.png	 	custom	 	 
all_the_things	emoji-cheat-sheet	all_the_things.png	 	 	all_the_things.png	 	custom	 	 
ambulance	github	ambulance.png	unicode/1f691.png?v8	U+1F691	1f691.png	 	custom	 	 
american_samoa	github	 	unicode/1f1e6-1f1f8.png?v8	U+1F1E6 U+1F1F8	1f1e6-1f1f8.png	 	custom	 	 
amphora	github	 	unicode/1f3fa.png?v8	U+1F3FA	1f3fa.png	 	custom	 	 
anatomical_heart	github	 	unicode/1fac0.png?v8	U+1FAC0	1fac0.png	 	custom	 	 
anchor	github	anchor.png	unicode/2693.png?v8	U+2693	2693.png	 	custom	 	 
andorra	github	 	unicode/1f1e6-1f1e9.png?v8	U+1F1E6 U+1F1E9	1f1e6-1f1e9.png	 	custom	 	 
angel	github	angel.png	unicode/1f47c.png?v8	U+1F47C	1f47c.png	 	custom	 	 
anger	github	anger.png	unicode/1f4a2.png?v8	U+1F4A2	1f4a2.png	 	custom	 	 
angola	github	 	unicode/1f1e6-1f1f4.png?v8	U+1F1E6 U+1F1F4	1f1e6-1f1f4.png	 	custom	 	 
angry	github	angry.png	unicode/1f620.png?v8	U+1F620	1f620.png	 	custom	 	 
anguilla	github	 	unicode/1f1e6-1f1ee.png?v8	U+1F1E6 U+1F1EE	1f1e6-1f1ee.png	 	custom	 	 
anguished	github	anguished.png	unicode/1f627.png?v8	U+1F627	1f627.png	 	custom	 	 
ant	github	ant.png	unicode/1f41c.png?v8	U+1F41C	1f41c.png	 	custom	 	 
antarctica	github	 	unicode/1f1e6-1f1f6.png?v8	U+1F1E6 U+1F1F6	1f1e6-1f1f6.png	 	custom	 	 
antigua_barbuda	github	 	unicode/1f1e6-1f1ec.png?v8	U+1F1E6 U+1F1EC	1f1e6-1f1ec.png	 	custom	 	 
apple	github	apple.png	unicode/1f34e.png?v8	U+1F34E	1f34e.png	 	custom	 	 
aquarius	github	aquarius.png	unicode/2652.png?v8	U+2652	2652.png	 	custom	 	 
argentina	github	 	unicode/1f1e6-1f1f7.png?v8	U+1F1E6 U+1F1F7	1f1e6-1f1f7.png	 	custom	 	 
aries	github	aries.png	unicode/2648.png?v8	U+2648	2648.png	 	custom	 	 
armenia	github	 	unicode/1f1e6-1f1f2.png?v8	U+1F1E6 U+1F1F2	1f1e6-1f1f2.png	 	custom	 	 
arrow_backward	github	arrow_backward.png	unicode/25c0.png?v8	U+25C0	25c0.png	 	custom	 	 
arrow_double_down	github	arrow_double_down.png	unicode/23ec.png?v8	U+23EC	23ec.png	 	custom	 	 
arrow_double_up	github	arrow_double_up.png	unicode/23eb.png?v8	U+23EB	23eb.png	 	custom	 	 
arrow_down	github	arrow_down.png	unicode/2b07.png?v8	U+2B07	2b07.png	 	custom	 	 
arrow_down_small	github	arrow_down_small.png	unicode/1f53d.png?v8	U+1F53D	1f53d.png	 	custom	 	 
arrow_forward	github	arrow_forward.png	unicode/25b6.png?v8	U+25B6	25b6.png	 	custom	 	 
arrow_heading_down	github	arrow_heading_down.png	unicode/2935.png?v8	U+2935	2935.png	 	custom	 	 
arrow_heading_up	github	arrow_heading_up.png	unicode/2934.png?v8	U+2934	2934.png	 	custom	 	 
arrow_left	github	arrow_left.png	unicode/2b05.png?v8	U+2B05	2b05.png	 	custom	 	 
arrow_lower_left	github	arrow_lower_left.png	unicode/2199.png?v8	U+2199	2199.png	 	custom	 	 
arrow_lower_right	github	arrow_lower_right.png	unicode/2198.png?v8	U+2198	2198.png	 	custom	 	 
arrow_right	github	arrow_right.png	unicode/27a1.png?v8	U+27A1	27a1.png	 	custom	 	 
arrow_right_hook	github	arrow_right_hook.png	unicode/21aa.png?v8	U+21AA	21aa.png	 	custom	 	 
arrow_up	github	arrow_up.png	unicode/2b06.png?v8	U+2B06	2b06.png	 	custom	 	 
arrow_up_down	github	arrow_up_down.png	unicode/2195.png?v8	U+2195	2195.png	 	custom	 	 
arrow_up_small	github	arrow_up_small.png	unicode/1f53c.png?v8	U+1F53C	1f53c.png	 	custom	 	 
arrow_upper_left	github	arrow_upper_left.png	unicode/2196.png?v8	U+2196	2196.png	 	custom	 	 
arrow_upper_right	github	arrow_upper_right.png	unicode/2197.png?v8	U+2197	2197.png	 	custom	 	 
arrows_clockwise	github	arrows_clockwise.png	unicode/1f503.png?v8	U+1F503	1f503.png	 	custom	 	 
arrows_counterclockwise	github	arrows_counterclockwise.png	unicode/1f504.png?v8	U+1F504	1f504.png	 	custom	 	 
art	github	art.png	unicode/1f3a8.png?v8	U+1F3A8	1f3a8.png	 	custom	 	 
articulated_lorry	github	articulated_lorry.png	unicode/1f69b.png?v8	U+1F69B	1f69b.png	 	custom	 	 
artificial_satellite	github	 	unicode/1f6f0.png?v8	U+1F6F0	1f6f0.png	 	custom	 	 
artist	github	 	unicode/1f9d1-1f3a8.png?v8	U+1F9D1 U+1F3A8	1f9d1-1f3a8.png	 	custom	 	 
aruba	github	 	unicode/1f1e6-1f1fc.png?v8	U+1F1E6 U+1F1FC	1f1e6-1f1fc.png	 	custom	 	 
ascension_island	github	 	unicode/1f1e6-1f1e8.png?v8	U+1F1E6 U+1F1E8	1f1e6-1f1e8.png	 	custom	 	 
asterisk	github	 	unicode/002a-20e3.png?v8	U+002A U+20E3	002a-20e3.png	 	custom	 	 
astonished	github	astonished.png	unicode/1f632.png?v8	U+1F632	1f632.png	 	custom	 	 
astronaut	github	 	unicode/1f9d1-1f680.png?v8	U+1F9D1 U+1F680	1f9d1-1f680.png	 	custom	 	 
athletic_shoe	github	 	unicode/1f45f.png?v8	U+1F45F	1f45f.png	 	custom	 	 
atm	github	atm.png	unicode/1f3e7.png?v8	U+1F3E7	1f3e7.png	 	custom	 	 
atom	github	 	atom.png?v8	 	atom.png	 	custom	 	 
atom_symbol	github	 	unicode/269b.png?v8	U+269B	269b.png	 	custom	 	 
australia	github	 	unicode/1f1e6-1f1fa.png?v8	U+1F1E6 U+1F1FA	1f1e6-1f1fa.png	 	custom	 	 
austria	github	 	unicode/1f1e6-1f1f9.png?v8	U+1F1E6 U+1F1F9	1f1e6-1f1f9.png	 	custom	 	 
auto_rickshaw	github	 	unicode/1f6fa.png?v8	U+1F6FA	1f6fa.png	 	custom	 	 
avocado	github	 	unicode/1f951.png?v8	U+1F951	1f951.png	 	custom	 	 
axe	github	 	unicode/1fa93.png?v8	U+1FA93	1fa93.png	 	custom	 	 
azerbaijan	github	 	unicode/1f1e6-1f1ff.png?v8	U+1F1E6 U+1F1FF	1f1e6-1f1ff.png	 	custom	 	 
b	github	b.png	unicode/1f171.png?v8	U+1F171	1f171.png	 	custom	 	 
baby	github	baby.png	unicode/1f476.png?v8	U+1F476	1f476.png	 	custom	 	 
baby_bottle	github	baby_bottle.png	unicode/1f37c.png?v8	U+1F37C	1f37c.png	 	custom	 	 
baby_chick	github	baby_chick.png	unicode/1f424.png?v8	U+1F424	1f424.png	 	custom	 	 
baby_symbol	github	baby_symbol.png	unicode/1f6bc.png?v8	U+1F6BC	1f6bc.png	 	custom	 	 
back	github	back.png	unicode/1f519.png?v8	U+1F519	1f519.png	 	custom	 	 
bacon	github	 	unicode/1f953.png?v8	U+1F953	1f953.png	 	custom	 	 
badger	github	 	unicode/1f9a1.png?v8	U+1F9A1	1f9a1.png	 	custom	 	 
badminton	github	 	unicode/1f3f8.png?v8	U+1F3F8	1f3f8.png	 	custom	 	 
bagel	github	 	unicode/1f96f.png?v8	U+1F96F	1f96f.png	 	custom	 	 
baggage_claim	github	baggage_claim.png	unicode/1f6c4.png?v8	U+1F6C4	1f6c4.png	 	custom	 	 
baguette_bread	github	 	unicode/1f956.png?v8	U+1F956	1f956.png	 	custom	 	 
bahamas	github	 	unicode/1f1e7-1f1f8.png?v8	U+1F1E7 U+1F1F8	1f1e7-1f1f8.png	 	custom	 	 
bahrain	github	 	unicode/1f1e7-1f1ed.png?v8	U+1F1E7 U+1F1ED	1f1e7-1f1ed.png	 	custom	 	 
balance_scale	github	 	unicode/2696.png?v8	U+2696	2696.png	 	custom	 	 
bald_man	github	 	unicode/1f468-1f9b2.png?v8	U+1F468 U+1F9B2	1f468-1f9b2.png	 	custom	 	 
bald_woman	github	 	unicode/1f469-1f9b2.png?v8	U+1F469 U+1F9B2	1f469-1f9b2.png	 	custom	 	 
ballet_shoes	github	 	unicode/1fa70.png?v8	U+1FA70	1fa70.png	 	custom	 	 
balloon	github	balloon.png	unicode/1f388.png?v8	U+1F388	1f388.png	 	custom	 	 
ballot_box	github	 	unicode/1f5f3.png?v8	U+1F5F3	1f5f3.png	 	custom	 	 
ballot_box_with_check	github	ballot_box_with_check.png	unicode/2611.png?v8	U+2611	2611.png	 	custom	 	 
bamboo	github	bamboo.png	unicode/1f38d.png?v8	U+1F38D	1f38d.png	 	custom	 	 
banana	github	banana.png	unicode/1f34c.png?v8	U+1F34C	1f34c.png	 	custom	 	 
bangbang	github	bangbang.png	unicode/203c.png?v8	U+203C	203c.png	 	custom	 	 
bangladesh	github	 	unicode/1f1e7-1f1e9.png?v8	U+1F1E7 U+1F1E9	1f1e7-1f1e9.png	 	custom	 	 
banjo	github	 	unicode/1fa95.png?v8	U+1FA95	1fa95.png	 	custom	 	 
bank	github	bank.png	unicode/1f3e6.png?v8	U+1F3E6	1f3e6.png	 	custom	 	 
bar_chart	github	bar_chart.png	unicode/1f4ca.png?v8	U+1F4CA	1f4ca.png	 	custom	 	 
barbados	github	 	unicode/1f1e7-1f1e7.png?v8	U+1F1E7 U+1F1E7	1f1e7-1f1e7.png	 	custom	 	 
barber	github	barber.png	unicode/1f488.png?v8	U+1F488	1f488.png	 	custom	 	 
baseball	github	baseball.png	unicode/26be.png?v8	U+26BE	26be.png	 	custom	 	 
basecamp	github	 	basecamp.png?v8	 	basecamp.png	 	custom	 	 
basecampy	github	 	basecampy.png?v8	 	basecampy.png	 	custom	 	 
basket	github	 	unicode/1f9fa.png?v8	U+1F9FA	1f9fa.png	 	custom	 	 
basketball	github	basketball.png	unicode/1f3c0.png?v8	U+1F3C0	1f3c0.png	 	custom	 	 
basketball_man	github	 	unicode/26f9-2642.png?v8	U+26F9 U+2642	26f9-2642.png	 	custom	bouncing_ball_man	 
basketball_woman	github	 	unicode/26f9-2640.png?v8	U+26F9 U+2640	26f9-2640.png	 	custom	bouncing_ball_woman	 
bat	github	 	unicode/1f987.png?v8	U+1F987	1f987.png	 	custom	 	 
bath	github	bath.png	unicode/1f6c0.png?v8	U+1F6C0	1f6c0.png	 	custom	 	 
bathtub	github	bathtub.png	unicode/1f6c1.png?v8	U+1F6C1	1f6c1.png	 	custom	 	 
battery	github	battery.png	unicode/1f50b.png?v8	U+1F50B	1f50b.png	 	custom	 	 
beach_umbrella	github	 	unicode/1f3d6.png?v8	U+1F3D6	1f3d6.png	 	custom	 	 
bear	github	bear.png	unicode/1f43b.png?v8	U+1F43B	1f43b.png	 	custom	 	 
bearded_person	github	 	unicode/1f9d4.png?v8	U+1F9D4	1f9d4.png	 	custom	 	 
beaver	github	 	unicode/1f9ab.png?v8	U+1F9AB	1f9ab.png	 	custom	 	 
bed	github	 	unicode/1f6cf.png?v8	U+1F6CF	1f6cf.png	 	custom	 	 
bee	github	honeybee.png	unicode/1f41d.png?v8	U+1F41D	1f41d.png	 	custom	honeybee	 
beer	github	beer.png	unicode/1f37a.png?v8	U+1F37A	1f37a.png	 	custom	 	 
beers	github	beers.png	unicode/1f37b.png?v8	U+1F37B	1f37b.png	 	custom	 	 
beetle	github	beetle.png	unicode/1fab2.png?v8	U+1FAB2	1fab2.png	 	custom	 	 
